id,year,length,beam,draft,displacement,cM,cWP,speed,num_shafts,num_blades,dprop,bulbous_bow,prop_speed,shp
Dreadnought,1905,160.6,25,9,18410,,,10.8,4,3,2.7,0,,20147
Invincible,1905,172.82,23.93,7.924,17679,,,13.7,4,3,3.4,0,4.92,34700
SMS Blucher,1907,161.8,24.5,8.84,"15,842",,,13.07,3,3,5.5,0,,"28,187"
Espana,1913,140,24,7.77,15700,0.951,0.716,10.44,4,3,2.4,0,6.5,17402
Minas Geraes,1910,165.5064,25.2984,7.53,19280,0.967,0.712,11.02,2,3,5.2578,0,2.4616,20014
Tegetthoff,1912,151,27.336,8.234,20275,0.96,0.693,10.44,4,3,2.75,0,2.7333,17872
SMS Erzherzog Franz Ferdinand,1910,137.453,24.576,8.084,14351,0.897,0.685,10.33,2,3,5.25,0,2.1516,13570
Von Der Tann,1910,171.7,26.6,8.91,19370,,,14.09,4,3,3.6,0,,"58,109"
Bellerophon,1906,160.32,25.1,8.2,18894,,,11.13,4,3,,0,,"20,012"
Collingwood/St. Vincent,1907,163.4,25.7,8.5,19711,,,11.16,4,3,,0,,20975
Neptune,1908,166.4,25.9,8.7,20000,,,10.8,4,3,,0,,19000
Indefatigable,1909,179.83,24.4,8.2,19051,,,13.83,4,3,3.21,0,5.255,"41,120"
Colossus,1909,166.11,26.4,8.2,22273,,,10.8,4,3,,0,,"19,000"
Lion,1909,213.36,27,8.55,26996,,,14.21,4,3,3.7338,0,4.65,55986.9
Ajax,1910,181.9,27.2,8.7,"25,830",,,10.91,4,3,,0,,"21,810"
Queen Mary,1910,213.36,27.2,8.5848,27615,,,14.49,4,3,,0,4.8167,61048.6
Benbow/Iron Duke,1911,189.8,27.4,9,26519,,,10.93,4,3,,0,,"21,625"
Tiger,1911,214.57,27.6,8.75,28947,,,14.95,4,3,4.1148,0,4.5833,76959
Barham/Queen Elizabeth,1912,195,27.6,10.1,"33,113",,,12.29,2,3,3.7,0,,"52,787"
Revenge,1913,189.12,27,10.2,"30,060",,,11.27,2,3,,0,,"31,273"
Renown,1914,242.01,27.5,8.115,28346,,,16.76,2,3,4.1148,0,4.6933,92893
Repulse,1915,242.01,27.5,8.56,30378,,,16.32,2,3,4.1148,0,4.5783,87460
Courageous,1916,239.8,24.7,7.77,22454,,,15.84,4,3,3.5,0,3.5052,"67,077"
Hood,1916,262.3,31.8,9.8,45316,,,16.4,2,3,4.57,0,3.4,110486
Warspite (rebuild),1934,195,27.6,10.1,"31,822",,,12.09,2,3,3.7,0,,"52,787"
Nelson,1922,216.41,32.3,9.2,"33,800",,,12.14,2,3,,0,,"34,325"
Agincourt,1911,209.7,27.13,8.23,28297,0.966,0.74,11.53,4,3,2.5908,0,,29513
Maine (1888),1888,97,17.44,6.69,5588.28,0.878,,8.98,2,3,,0,,6839
Texas (1889),1889,91.84,19.53,7.47,6416.36,0.906,,8.74,2,3,,0,,6421
Indiana (BB-1),1891,106.07,21.11,7.47,10389.11,0.931,,8,2,3,,0,,7083
Iowa (BB-4),1893,109.72,22.02,7.31,11545.38,0.944,,8.79,2,3,,0,,8825
Kearsarge,1896,112.16,22.02,7.85,11735.38,0.957,,8.65,2,3,,0,,8790
Illinois (BB-7),1897,112.16,22.02,7.21,11725.22,0.957,,8.98,2,3,,0,,9513
Missouri (BB-11),1899,118.26,22.02,7.78,12497.42,0.946,,9.34,2,3,,0,,11816
New Jersey (BB-16),1902,132.58,23.24,7.38,15169.63,0.906,,9.87,2,3,,0,,17218
Louisiana (BB-19),1903,137.15,23.42,7.91,16256.8,0.961,,9.68,2,3,,0,,15472
Mississippi (BB-23),1904,114.29,23.47,7.32,13208.65,0.974,,8.8,2,3,,0,,10147
Michigan (BB-27),1906,137.15,24.45,7.42,16321.83,0.943,,9.67,2,3,,0,,12165
North Dakota (BB-29),1907,155.44,25.97,8.14,20341.32,0.978,,10.81,2,3,,0,,23591
Utah (BB-31),1909,155.44,26.88,8.69,21623.58,0.979,,10.82,4,3,,0,,20466
Florida (BB-30) post-rebuild,1925,155.44,32.31,8.69,25061.89,0.979,,11.4,4,3,,0,,35329
Arkansas (BB-33),1910,168.85,28.41,8.54,25956.01,0.985,,10.92,4,3,,0,,21467
Arkansas (BB-33) post-rebuild,1925,168.85,32.31,8.69,29534.54,,,11.01,4,3,,0,,32205
Texas (BB-35),1911,172.2,29.03,8.5,26551.42,0.977,,10.87,2,3,,0,,21514
